"filename";"TotalPeopleInBurst";"MaximumCodeBurstLate";"NumberOfChanges";"MaxPeopleInBurst";"TotalBurstSizeLate";"NumberCodeBurstsLate";"NumberOfChangesLate";"NumberOfChangesEarly";"MaxChurnInBurst";"MaximumCodeBurstEarly";"NumberCodeBurstsEarly";"TimeFirstBurst";"TotalChurnInBurst";"ChurnTotal";"MaximumCodeBurst";"NumberOfConsecutiveChangesEarly";"NumberConsecutiveChangesLate";"TotalBurstSizeEarly";"TotalBurstSize";"TimeMaxBurst";"NumberConsecutiveChanges";"TimeLastBurst";"NumberCodeBursts";"PeopleTotal";"X"
"1";"/org.eclipse.help/src/org/eclipse/help/internal/search/QueryWordsExactPhrase.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;NA
"2";"/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/actions/CopyVariablesToClipboardActionDelegate.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;64;0;0;0;0;0;-1;0;-1;0;2;NA
"3";"/org.eclipse.update.ui/src/org/eclipse/update/internal/ui/wizards/ReplaceFeatureVersionWizardPage.java";0;0;6;0;0;0;1;5;0;0;0;-1;0;54;0;0;0;0;0;-1;0;-1;0;1;NA
"4";"/org.eclipse.update.configurator/src/org/eclipse/update/internal/configurator/InstalledSiteParser.java";0;0;3;0;0;0;0;3;0;0;0;-1;0;8;0;0;0;0;0;-1;0;-1;0;1;NA
"5";"/org.eclipse.team.cvs.ui/src/org/eclipse/team/internal/ccvs/ui/repo/NewCVSAnonEclipseConnection.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;NA
"6";"/org.eclipse.jdt.ui.tests.refactoring/resources/ChangeTypeRefactoring/positive/A_testLocalVarName_out.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;NA
"7";"/org.eclipse.osgi/osgi/src/org/osgi/framework/PackagePermission.java";0;0;2;0;0;0;1;1;0;0;0;-1;0;3;0;0;0;0;0;-1;0;-1;0;2;NA
"8";"/org.eclipse.jdt.debug.ui/ui/org/eclipse/jdt/internal/debug/ui/actions/ExceptionBreakpointFilterEditor.java";0;0;1;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;NA
"9";"/org.eclipse.pde.ui/src/org/eclipse/pde/internal/ui/editor/text/ReconcilingStrategy.java";0;0;2;0;0;0;2;0;0;0;0;-1;0;10;0;0;0;0;0;-1;0;-1;0;1;NA
"10";"/org.eclipse.core.resources/src/org/eclipse/core/internal/events/AutoBuildJob.java";1;0;25;1;0;0;11;14;46;2;2;2057;54;324;2;2;0;4;4;2057;2;3110;2;2;NA
"11";"/org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/search/IOccurrencesFinder.java";1;0;4;1;0;0;1;3;7;0;1;3759;7;28;2;1;0;2;2;3759;1;3759;1;3;NA
"12";"/org.eclipse.ant.ui/Ant Editor/org/eclipse/ant/internal/ui/editor/model/IAntEditorConstants.java";0;0;2;0;0;0;0;2;0;0;0;-1;0;0;0;0;0;0;0;-1;0;-1;0;1;NA
"13";"/org.eclipse.sdk.tests-feature/plugins/org.eclipse.perfmsr.ui.client/src/org/eclipse/perfmsr/ui/client/StepComparison.java";0;0;2;0;0;0;2;0;0;0;0;-1;0;10;0;0;0;0;0;-1;0;-1;0;1;NA
"14";"/org.eclipse.jdt.core.tests.compiler/src/org/eclipse/jdt/core/tests/compiler/parser/SourceElementParserTest.java";0;0;5;0;0;0;0;5;0;0;0;-1;0;25;0;0;0;0;0;-1;0;-1;0;4;NA
"15";"/org.eclipse.ui.forms.examples/src/org/eclipse/ui/forms/examples/internal/rcp/TypeTwoDetailsPage.java";1;0;6;1;0;0;2;4;19;0;1;4284;19;42;2;1;0;2;2;4284;1;4284;1;1;NA
